ID,employeeId,firstName,lastName,email,department,salary,status,createdAt,createdBy,modifiedAt,modifiedBy
1931106c-9deb-4133-bec6-af86f757b34f,59,firstName-193110,lastName-193110,email-193110,department-193110,9169732334008.28,ACTIVE,2002-10-29T00:00:00.000Z,createdBy.4506@example.com,2001-01-12T00:00:00.000Z,modifiedBy.4506@example.net
193111b2-f8ff-4b47-a5a3-8d9803e9124e,89,firstName-193111,lastName-193111,email-193111,department-193111,3646664488053.87,status-193111,2016-05-15T00:00:00.000Z,createdBy.4507@example.com,2006-12-19T00:00:00.000Z,modifiedBy.4507@example.net
19311231-ab63-462d-a6e1-c812a2072549,47,firstName-193112,lastName-193112,email-193112,department-193112,1190142226235.42,status-193112,2010-11-09T00:00:00.000Z,createdBy.4508@example.com,2023-04-29T00:00:00.000Z,modifiedBy.4508@example.org
19311323-ee93-4e86-8eff-94cf6bdcc168,88,firstName-193113,lastName-193113,email-193113,department-193113,3693520607591.41,ACTIVE,2001-08-16T00:00:00.000Z,createdBy.4509@example.net,2013-06-14T00:00:00.000Z,modifiedBy.4509@example.com
193114a2-7a7f-4917-8960-be87704d8aa5,85,firstName-193114,lastName-193114,email-193114,department-193114,1982935822524.4,status-193114,2019-07-22T00:00:00.000Z,createdBy.450a@example.com,2007-10-04T00:00:00.000Z,modifiedBy.450a@example.com
19311509-0de1-4c34-8881-8452644e3bf2,65,firstName-193115,lastName-193115,email-193115,department-193115,8238344222410.29,status-193115,2006-05-22T00:00:00.000Z,createdBy.450b@example.org,2008-06-03T00:00:00.000Z,modifiedBy.450b@example.org
19311649-5ab4-4012-8d93-548cbc2dfe63,7,firstName-193116,lastName-193116,email-193116,department-193116,197603995924.51,status-193116,2017-04-20T00:00:00.000Z,createdBy.450c@example.net,2007-03-04T00:00:00.000Z,modifiedBy.450c@example.net
193117f5-5398-4de8-8dfc-0011a282443c,61,firstName-193117,lastName-193117,email-193117,department-193117,7709722424508.16,status-193117,2023-02-28T00:00:00.000Z,createdBy.450d@example.org,2000-03-15T00:00:00.000Z,modifiedBy.450d@example.org
193118a8-5fd0-47e1-be00-8e9f57015441,34,firstName-193118,lastName-193118,email-193118,department-193118,9453176484124.13,status-193118,2017-10-12T00:00:00.000Z,createdBy.450e@example.net,2007-02-16T00:00:00.000Z,modifiedBy.450e@example.org
193119cb-2c8b-496d-83c6-9cf7c8aa140b,22,firstName-193119,lastName-193119,email-193119,department-193119,6551073258413.25,status-193119,2001-06-06T00:00:00.000Z,createdBy.450f@example.org,2021-08-10T00:00:00.000Z,modifiedBy.450f@example.org
